Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
87,,电子科技大学,UESTC_波意崴阿尔,张诗杨,幸子豪,郑祯宇,杨鹏,,True,4,905,Bronze,,+4(184),,,,,+3(175),,,+1(290),,,+2(56)
88,,杭州电子科技大学,2025杭电2队,乐星宇,张雨泽,王秉杭,黄彬彬,,True,4,906,Bronze,,+3(151),,-2,,,+3(157),,,+2(229),,,+4(129)
89,56,中南大学,天堂鸟,张博源,孙汉涛,沈宇科,沈海澜,,True,4,956,Bronze,,+1(150),,,,,+(107),,,+(287),,,+9(212)
90,,兰州大学,今晚来我床上打三国杀,曹家硕,沈天辰,张照博,马俊,,True,4,976,Bronze,,+7(223),,,,,+(77),,,+(295),,,+2(201)
,,武汉大学,永恒的武汉大学,李致远,赵天星,田子轶,董文永,,False,4,1031,,,+(101),,,,,+10(287),,,+2(257),,,+4(66)
91,57,西北工业大学,1-2-4-8-16-32,陈玟,白昊明,吴天烨,刘君瑞,,True,4,1187,Bronze,,+2(218),,,,,+7(199),,,+3(294),,,+3(176)
92,58,西华大学,羡慕思静学姐的第一天,吴岚轩,肖代阳,石浩楠,陈红红,,True,3,234,Bronze,,+(106),,,,,+(69),,,-6,,,+1(39)
93,59,河海大学,我有打表依赖症,蔡松廷,杨帆,江晟东,陈慧萍,,True,3,262,Bronze,,+(121),,,,,+(90),,,-2,,,+(51)
94,60,北京工业大学,铁牌也是牌,李俊良,江云天,冯际鸣,高红雨,,True,3,350,Bronze,,+3(134),,,,,+(50),,,-5,,,+3(46)
95,61,武汉理工大学,爱抖露码死他,李晨,俞烨宸,李意峰,赵冬冬,,True,3,382,Bronze,,+1(188),,,,,+1(80),,,-3,,,+1(54)
96,62,阜阳师范大学,爆裂黎明,张鹏程,严航,刘欣怡,范建中,,True,3,395,Bronze,,+1(165),,,,,+1(83),,,-2,,,+(107)
97,63,浙大宁波理工学院,青梅柠檬茶,涂荣基,吴泽坤,丁智宇,郭新友,,True,3,398,Bronze,,+1(186),,,,,+(150),,,,,,+(42)
98,64,华南师范大学,A了这题就吃麦旋风,黄家谦,侯俊宇,林楷楠,梁军,,True,3,407,Bronze,,+2(142),,,,,+2(87),,,,,,+1(78)
99,65,东北大学秦皇岛分校,恋的零次方,杨开元,李昌岳,陈奕晨,王和兴,,True,3,423,Bronze,,+1(94),,,,,+5(123),,,,,,+(86)
100,,杭州电子科技大学,2025杭电8队,陈旭,罗立诚,陈瀚锐,徐恩友,,True,3,424,Bronze,,+2(167),,,,,+(141),,,-1,,,+(76)
,,长沙市中雅培粹学校,小炒黄牛肉,李宥霆,王鱼因,陆予帆,陈灿华,,False,3,426,,,+(126),,,,,+(185),,,,,,+2(75)
101,66,广州大学,西哈诺,郑灵杰,陈全隆,潘胜云,赵睿,,True,3,429,Bronze,,+1(147),,,,,+2(163),,,-5,,,+(59)
102,,北京邮电大学,LAA is ALL,林米乐,安奕轩,安澍,徐鹏,,True,3,433,Bronze,,+2(210),,,,,+1(124),,,-2,,,+(39)
103,67,北京理工大学,动态树,齐轩宇,张家诚,邱昌威,史继筠,,True,3,437,Bronze,,+(84),,,,,+3(196),,,,,,+2(57)
104,68,成都大学,妹相随~黑白世界的缤纷冒险~,万名森,冉天祺,赵嘉源,古沐松,,True,3,439,Bronze,,+4(122),,,,,+1(125),,,-1,,,+2(52)
105,,四川大学,猫鼬砼,吴卓琦,黄奕浩,江来,左劼,,True,3,470,Bronze,,+4(166),,,,,+2(117),,,-3,,,+(67)
106,,同济大学,Non-Trivial TLE,潘越,许思源,上官思洋,叶晨,,True,3,476,Bronze,,+1(111),,,-4,,+6(132),,,-3,,,+1(73)
107,,厦门大学,绝密ccpc保险出金了,王业盛,彭泽喜,吴俊豪,蔡炳跃,,True,3,476,Bronze,,+2(182),,,,,+5(116),,,-1,,,+(38)
108,69,湘潭大学,冬月既朔,谢东骏,李名杰,谢先皓,谢勇,,True,3,480,Bronze,,+3(154),,,,,+3(131),,,,,,+1(55)
109,70,河南农业大学,自动战斗,许博文,赵嘉驰,张云博,尚俊平,,True,3,482,Bronze,,+4(173),,,,,+1(119),,,-2,,,+1(70)
110,,重庆大学,次元沸腾,陈孙一硕,包函睿,韩金东,李佳,,True,3,490,Bronze,,+2(227),,,,,+(129),,,-2,,,+2(54)
111,,浙江理工大学,"兄弟,你怎么还在WA",余江辉,贺宇昊,江子豪,叶海荣,,True,3,495,Bronze,,+4(203),,,,,+(146),,,-6,,,+1(46)
112,71,深圳职业技术大学,逐光掠影,胡峰贤,陈泽锦,黄勇文,李粤平,,True,3,512,Bronze,,+3(247),,,,,+1(95),,,-3,,,+2(50)
113,72,湖南科技大学,馥梦繁花,胡博潇,毛祎昀,蒋心妍,向德生,,True,3,514,Bronze,,+2(167),,,,,+2(174),,,-7,,,+2(53)
114,73,中国矿业大学,忘记开spj,龚子贤,黄科海,梁浩均,毕方明,,True,3,514,Bronze,,+2(85),,,,,+4(222),,,,,,+2(47)
115,,哈尔滨工业大学（深圳）,不如加训,罗烺韬,邹锦宇,黄婉彤,陈勇勇,,True,3,519,Bronze,,+1(158),,-1,,,+1(188),,,,,,+2(93)
,,中国海洋大学,地球猞猁,李明朗,黄致远,屠晓桐,刘培顺,,False,3,540,,,+(167),,,,,+3(197),,,-3,,,+2(76)
116,,武汉大学,"那个忍者说,acm只是个开始",黄祯,李书纬,丁启航,董文永,,True,3,542,Bronze,,+1(248),,,,,+1(148),,,-1,,,+2(66)
117,,南京航空航天大学,原子牌锅贴,黄耘青,张森睿,池明轩,邹春然,,True,3,547,Bronze,,+1(141),,,,,+1(250),,,-1,,,+2(76)
118,74,上海科技大学,WA行易施,姜昕宇,王俊篪,陈钊堃,屠可伟,,True,3,549,Bronze,,+(173),,,,,+(141),,,-2,,,+6(115)
119,75,合肥工业大学,合工大101队,王熠辉,程云哲,张麒麟,徐本柱,,True,3,554,Bronze,,+2(240),,,,,+1(110),,,,,,+2(104)
120,76,西安科技大学,来财,李姜帅,罗元,袁伯琦,史晓楠,,True,3,559,Bronze,,+5(188),,,,,+3(162),,,-10,,,+1(29)
121,77,湖南理工学院,君不见高堂评测悲全WA,林卫昱,费峥宇,陈天好,李文彬,,True,3,568,Bronze,,-12,,,,,+4(93),,,+2(251),,,+(104)
122,78,湖北工业大学,Doro给你带了哦润吉,梅锦昕,李怡爽,黄胡智宇,徐承志,,True,3,581,Bronze,,+1(227),,,,,+(181),,,,,,+3(93)
123,79,北京师范大学,高坂丽奈还没投票,谢秋凡,徐雁洲,陈博,徐鹏飞,,True,3,581,Bronze,,+(155),,,,,+1(267),,,-1,,,+2(99)
124,80,湖南城市学院,灰姑娘的故事,王钦荣,张文杰,肖阳,廖枝平,,True,3,582,Bronze,,+3(171),,,,,+6(165),,,-1,,,+1(46)
125,,武汉大学,"Farmer John, Bessie and Elsie",魏俊涛,杨锦熙,戴天奕,董文永,,True,3,582,Bronze,,+(224),,,,,+2(177),,,,,,+3(81)
126,81,成都信息工程大学,还在为她患得患失吗,张顺军,杨鹏,权雨帆,郑丰华,,True,3,586,Bronze,,+1(224),,,,,+4(172),,-1,-2,,,+1(70)
127,82,南阳理工学院,那个队,叶昱彤,陈泺冰,周硕涵,陈可,,True,3,592,Bronze,,+(210),,,,,+(181),,,-1,,,+4(121)
128,,北京交通大学,幻梦成真,邬健翔,王欣洋,方瑞年,许华婷,,True,3,594,Bronze,,+(152),,,,,+1(273),,,-3,,,+3(89)
129,83,深圳大学,"点点看,灼RE,AC汲取?WA!抢救?!",肖俊祺,温家燊,廖昱堃,王天雨,,True,3,599,Bronze,,+1(92),,,,,+4(226),,,-1,,,+5(81)
,,个人参赛,WA on test 100!,李天江,洪绍霖,林泽全,黎锦阳,,False,3,600,,,+(213),,,,,+2(66),,,,,,+8(121)
130,84,衡阳师范学院,随风舞,郑庆,戴璐瑶,王葡豪,罗泽,,True,3,613,Bronze,,+2(258),,,,,+2(164),,,-1,,,+2(71)
131,,中南大学,对吗?对的:哦不对;,龚垚淼,李奕儒,谢礼健,冯启龙,,True,3,614,Bronze,,+1(144),,-1,,,+1(213),,,-4,,,+5(117)
132,,东北大学,东北大学_魔法霰弹,李卓恒,秦子溪,袁家铭,刘小锋,,True,3,616,Bronze,,+2(202),,,,,+(180),,,,,,+4(114)
133,,山东大学,想要成为人类,孙崇越,农烨明,王天烨,鹿旭东,,True,3,618,Bronze,,+(208),,,,,+1(263),,,-1,,,+1(107)
134,,天津大学,WA自动机,郭智柯,丁浩然,曾瑞,喻梅,,True,3,625,Bronze,,+4(293),,,,,+2(121),,,,,,+1(71)
135,85,苏州大学,憧憬学会STL,周子尧,李宇杰,范宇辰,赵雷,,True,3,628,Bronze,,+2(221),,,,,+(235),,,,,,+2(92)
136,86,华北电力大学（保定）,红绿色奶龙,朱浩宇,刘强,黄佳乐,袁和金,,True,3,629,Bronze,,+2(213),,,,,+(152),,,-1,-1,,+7(84)
137,,东北大学秦皇岛分校,Fire Bird,邓逸飞,尹瀚磊,段俊宏,王和兴,,True,3,630,Bronze,,+2(143),,,,,+7(266),,,-1,,,+(41)
138,87,安徽大学,神秘WA学弟,李子涵,高源,吴元斌,周健,,True,3,636,Bronze,,+1(255),,,,,+3(131),,,-1,,,+3(110)
139,88,浙江万里学院,轮回之糸,张宇帆,奚舒雯,孙春辉,柴本成,,True,3,648,Bronze,,+4(265),,,,,+4(155),,,,,,+(68)
140,,华南理工大学,Fast Fast TLE,吴挺宇,吴尚鸿,甘景贤,冼楚华,,True,3,649,Bronze,,+(192),,-1,,,+3(236),,,,,,+3(101)
