Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
119,,广东金融学院,Around with you,2,315,-,-,+1(21),-,-,-,-,-9,-,-,+6(194),-,-,71%,Honorable,陈致昊,翁博,陈俊明,Zijie Cao(Coach),N,N
120,91,深圳技术大学,Realize your dream,2,316,-,-,+1(13),-,-,-,-,-,-,-,+5(223),-1,-,66%,Honorable,肖文航,李壮壮,徐鑫,Yundi Guo(Coach),N,N
121,92,厦门大学马来西亚分校,DUI DUI DUI,2,352,-2,-,+2(54),-,-,-,-,-,-,-,+2(258),-,-,50%,Honorable,Jiayi Su,Liu Jintao,Zhou Zhang,Yiwei Zhang(Coach),N,N
122,93,河海大学,There's a Naloong among us,2,367,-,-,+1(10),-,-,-,-,-,-,-,+6(257),-,-,71%,Honorable,李昱泓,张紫轩,钱子恒,Xuejie Zhang(Coach),N,N
123,94,河南理工大学,ZhuGeliang,2,370,-,-,+1(25),-,-,-,-,-,-,-,+4(285),-,-,60%,Honorable,张荣昌,蒲叶,常曜璘,Ma Yongqiang(Coach),N,N
124,95,山东石油化工学院,Guessing to Au,2,383,-,-,+1(17),-,-,-,-,-,-,-,+7(246),-1,-,75%,Honorable,李子杰,姚神忠,许津冬,Qiang Chen(Coach),N,N
125,96,长江大学,two big one small,2,448,-,-,+1(13),-,-,-,-,-,-,-,+12(215),-,-,84%,Honorable,纪方嘉,童炎,任文,Wei Zhan(Coach),N,N
126,,香港城市大学,a teamname should be here,2,502,-,-,+1(14),-,-1,-,-,-,-,-,+11(288),-,-,83%,Honorable,洪琛皓,高立由,王梵,Minming Li(Coach),N,N
127,97,山东财经大学,SDUFE_TEAM_01,2,510,-,-,+1(25),-,-,-,-,-,-,-,+15(205),-,-,87%,Honorable,来孟阳,马弘逸,张淇皓,Hengwu Li(Coach),N,N
128,98,上海海事大学,"sry bro, I feel horribly strong right now.",2,651,-1,-,+1(17),-,-,-1,-,-1,-,-,+19(274),-1,-,90%,Honorable,沈彦君,孙瑞熙,李海涵,Weixiang Zhou(Coach),N,N
129,99,澳门大学,icy_firefly,1,10,-,-,+1(10),-,-,-1,-,-,-,-,-11,-1,-,0%,Honorable,席跃,高淼悦,麦家俊,Ye Wang(Coach),N,N
130,,上海海事大学,You always only think about yourself!,1,15,-,-,+1(15),-,-,-3,-,-,-,-,-7,-1,-,0%,Honorable,陈立元,常缪洋,郑天罡,Weixiang Zhou(Coach),N,N
131,,澳门大学,Black Myth: Wu Neng,1,16,-,-,+1(16),-,-,-,-,-,-,-,-20,-2,-,0%,Honorable,Xintao Wang,YANGSHEN PAN,NGOU HIN CHEANG,Ye Wang(Coach),N,N
132,100,安徽大学,Too Young Too Simple,1,17,-,-,+1(17),-,-1,-,-,-4,-,-,-2,-,-,0%,Honorable,赵靖齐,成智炜,李子涵,Jian Zhou(Coach),N,N
133,101,北京师范大学,GODDOG,1,18,-,-,+1(18),-,-,-,-,-2,-,-,-9,-,-,0%,Honorable,宋泰霖,,,,N,N
134,102,广东工业大学揭阳校区,GDUTJY_EndlBand,1,19,-,-1,+1(19),-,-,-,-,-,-,-,-5,-,-,0%,Honorable,林杰钗,刘子恒,莫子桦,Hongshu Li(Coach),N,N
135,103,广东医科大学,CodeCrushers,1,27,-,-,+1(27),-,-,-,-,-,-,-,-5,-,-,0%,Honorable,祝若麟,卢宇洋,何阳,wu yingjiang(Coach),N,N
135,103,广东理工学院,reverse,1,27,-,-,+1(27),-,-,-,-,-,-,-,-6,-,-,0%,Honorable,罗淇,黄泽鑫,李益锋,Yali Shao(Coach),N,N
137,105,宜春学院,Running on test2,1,28,-,-,+1(28),-,-,-,-,-,-,-,-7,-,-,0%,Honorable,胡帅,施硕,万昭玮,LiLan Lei(Coach),N,N
137,,常熟理工学院,537 so cute,1,28,-,-,+1(28),-,-,-,-,-,-,-,-13,-,-,0%,Honorable,李天申,周冯希,陆苏皖,Panhong Nie(Coach),N,N
