Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
88,,杭州电子科技大学,杭电9队,5,571,+1(24),-5,-,-,+4(165),-3,-,+1(133),-,-,+1(13),-,+5(96),58%,Silver,冯松权,沈栩冉,沈泽楷,刘春英,N,N
89,62,中国科学院大学,Chirp-Z变换,5,583,+1(36),-,-,-,+4(224),-1,-,+1(115),-,-,+1(39),-,+2(89),44%,Silver,朱奕杰,林海昊,聂泽锴,孙晓明,N,N
90,63,兰州大学,自信，沉着，冷静。,5,592,+1(14),-,-,-,+3(169),-5,-,+3(188),-,-,+1(24),-,+1(117),44%,Silver,吕澎,吴晨阳,马良,马俊,N,N
91,,南京邮电大学,南京Hero久竞,5,601,+1(12),-,-,-,+1(179),-1,-,+1(227),-,-,+1(45),-,+1(138),0%,Silver,廖梓轩,王瑞阳,陈华柯焱,陈志,N,N
92,64,湘潭大学,夜曲,5,618,+2(23),-1,-,-4,+4(119),-2,-,+1(90),-,-,+1(22),-,+4(224),58%,Silver,卓越,叶祖晨,曾庆鑫,谢勇,N,N
93,65,浙江师范大学,分秒易逝，V我5时,5,624,+2(21),-5,-,-,+3(165),-,-,+3(128),-,-,+1(47),-,+2(143),54%,Silver,兰博望,刘思源,敖浩博,韩建民,N,N
94,66,南京信息工程大学,CF灰名也有打铁梦,5,630,+1(18),-2,-,-,+1(71),-1,-,+3(233),-,-,+2(36),-,+2(192),44%,Silver,宋思泽,崔嘉豪,龚敏,郑关胜,N,N
95,,南开大学,难开题开题难,5,633,+2(17),-,-,-,+4(299),-8,-,+1(121),-,-,+1(27),-,+1(89),44%,Silver,何闻硕,张宇墨 ,陈彦兴,刘晓光,N,N
96,,电子科技大学,UESTC_牢东西,5,638,+2(41),-,-,-,+1(80),-7,-,+1(198),-,-,+1(36),-,+3(223),37%,Silver,常铭,王振波,郑力文,汪小平,N,N
97,67,浙江机电职业技术大学,兔八鸽,5,664,+1(16),-,-,-,+2(78),-,-,+3(161),-,-,+1(37),-,+2(292),44%,Silver,应程杰,林宇曈,洪志伦,邹会来,N,N
98,68,无锡学院,WXU_Excalibur,5,667,+1(32),-1,-,-,+1(72),-1,-,+1(112),-,-,+2(33),-,+6(298),54%,Silver,王圣,钟思旋,韩顺,刘伟,N,N
99,69,西安电子科技大学,什么都不会也能参加acm吗,5,673,+1(17),-8,-,-,+7(221),-,-,+3(152),-,-,+1(50),-,+2(53),64%,Silver,吴晨,汤修齐,潘振,武越,N,N
100,70,湖北工业大学,长生,5,676,+2(58),-,-,-,+1(135),-1,-,+1(225),-,-,+1(21),-,+3(177),37%,Silver,杨思腾,陈奕澄,陈晓辉,徐承志,N,N
101,71,郑州大学,都不玩原神,5,679,+1(11),-,-,-,+2(92),-,-,+2(202),-,-,+1(37),-,+5(217),54%,Silver,乔培元,梁志杰,赵圣元,张卫星,N,N
102,,天津大学,拼搏百天，我要上天津大学,5,683,+1(20),-1,-,-,+2(99),-2,-,+1(148),-,-,+1(45),-,+5(271),50%,Silver,于兴航,王然驰,马佳一,于瑞国,N,N
103,72,武汉工程大学,青青子衿，悠悠我心,5,687,+1(30),-,-,-,+1(135),-5,-,+2(223),-,-,+1(40),-,+1(239),16%,Silver,朱盛杰,白雨龙,邓豪,陈灯,N,N
104,73,湖南城市学院,灰姑娘的故事,5,696,+1(34),-,-,-,+6(246),-,-,+2(146),-,-,+1(41),-,+3(69),61%,Silver,杨港宇,王钦荣,陆昌坤,廖枝平,N,N
104,,上海理工大学,ICPC杭州简直就是一个乙游大世界！,5,696,+1(13),-8,-,-,+3(79),-,-,+2(105),-,-,+1(24),-,+9(255),68%,Silver,吴佳霖,张皓宇,董柯演,周春樵,N,N
106,74,台州学院,别急,5,698,+2(39),-,-,-,+2(192),-4,-,+3(223),-,-,+2(43),-,+2(81),54%,Silver,刘韬,金鑫,陈逸轩,陈荣钦,N,N
107,,哈尔滨工业大学（威海）,为帅哥学长征婚QQ2216541094,5,702,+2(41),-,-,-,+2(81),-3,-,+4(156),-,-,+1(15),-,+5(229),64%,Silver,姚天奇,李泳明,陈子铭,董开坤,N,N
108,,中南大学,饿饿饿不知道吃什么,5,704,+5(35),-,-,-,+2(118),-6,-,+1(132),-,-,+1(54),-,+4(205),61%,Silver,刘润田,刘鸣晓,周学恒,刘熙尧,N,N
109,,浙江师范大学,总裁，夫人说这签到题写不完，今晚不许回家,5,705,+1(12),-,-,-,+2(96),-4,-,+2(240),-,-,+1(38),-,+2(259),37%,Silver,张之娴,李燕斌,马天晟,韩建民,N,N
110,75,东北大学秦皇岛分校,趁他们睡觉偷偷训一题,5,720,+1(14),-11,-,-,+3(95),-,-,+2(272),-,-,+2(37),-,+1(222),44%,Silver,尹瀚磊,段俊宏,王永翔,王和兴,N,N
111,76,哈尔滨工业大学（深圳）,重生之我在哈工深打ACM,5,723,+1(16),-1,-,-,+2(109),+3(268),-,+2(219),-,-,+1(31),-,-4,44%,Silver,任德阳,王一鸣,秦绍竣,李穆,N,N
112,,杭州电子科技大学,杭电8队,5,726,+1(15),-,-,-,+4(219),-8,-,+5(192),-,-,+2(28),-,+2(92),64%,Bronze,余邦轩,许钟乐,金佳栋,刘春英,N,N
113,77,西湖大学,轰炸机数学学院,5,729,+1(18),-,-,-,+2(190),-4,-,+6(139),-,-,+1(41),-,+4(161),64%,Bronze,俞开,汪阳,贾岚晴,周广成,N,N
113,77,东南大学,西西弗斯,5,729,+2(22),-,-,-,+2(111),+4(194),-,+7(154),-,-,+1(28),-,-7,68%,Bronze,何辰玮,刘一鸣,王俊迪,倪庆剑,N,N
115,,华南理工大学,team_name,5,739,+1(15),-,-,-,+3(139),-2,-,+5(192),-,-,+2(28),-,+2(205),61%,Bronze,柯谱,邹明序,黄烁韩,冼楚华,N,N
116,79,National University of Mongolia,NUM-L3,5,747,+1(40),-,-,-,+1(178),-,-,+2(98),-,-,+1(31),-,+6(280),54%,Bronze,Bilguun Erkhembayar,Dalaitseren Ganbold,Khishigdemberel Bayarkhuu,"Bagabold,Gendensuren",N,N
117,80,河南理工大学,橙子往昔,5,756,+3(55),-,-,-,+2(111),-,-,+2(219),-,-,+1(67),-,+3(184),54%,Bronze,王郅明,罗峻函,高嘉琦,贺玉晓,N,N
118,,电子科技大学,UESTC_EndlessEmbrace,5,763,+2(37),-,-,-,+1(109),-,-,+1(175),-,-,+1(34),-,+8(248),61%,Bronze,余天羽,王彬丞,王鹏,吴磊,N,N
119,81,国防科技大学,蓝色空间号,5,768,+2(13),-3,-,-,+6(235),-1,-,+3(134),-,-,+1(25),-,+1(201),61%,Bronze,刘宇林,吴佳英,杨泽,张元良,N,N
120,,北京交通大学,今宵露宿何妨,5,770,+1(22),-,-,-,+2(186),-,-,+2(267),-,-,+1(41),-,+5(134),54%,Bronze,刘泽晖,李辰璋,王嘉胜,黄华,N,N
121,,华东师范大学,东方 homo 馆,5,776,+1(29),-2,-,-,+4(218),-2,-,+4(197),-,-,+1(40),-,+4(112),64%,Bronze,余东桦,漆宇祥,范晨阳,杜育根,N,N
122,,哈尔滨工业大学（深圳）,不如加训,5,791,+3(25),-,-,-,+2(93),-1,-,+2(192),-,-,+3(47),-,+5(234),66%,Bronze,吴志广,罗烺韬,邹锦宇,高翠芸,N,N
123,82,河南大学,狗不理包子,5,792,+1(26),-,-,-,+1(102),-,-,+2(244),-,-,+1(40),-,+5(280),50%,Bronze,孙小文,尤铭,胡逢彬,王震,N,N
124,83,大连大学,我们队有人延毕才有了这次机会最后一舞,5,793,+1(31),-1,-,-,+4(171),-,-,+2(243),-,-,+1(45),-,+5(143),61%,Bronze,张逸璇,蒋文博,魏恒彬,赵宏伟,N,N
125,84,哈尔滨理工大学,哈理工12队HZ,5,807,+1(17),-,-,-,+1(76),-3,-,+8(237),-,-,+2(45),-,+3(232),66%,Bronze,林浩,王开纪,黄忆杭,金恩海,N,N
126,,广东工业大学,漫游者,5,809,+1(15),-,-,-,+2(230),-,-,+3(76),-,-,+2(31),-,+7(257),66%,Bronze,林敏彬,潘锦炫,钟迪,孙宣东,N,N
127,85,中国矿业大学,chengcheng567_fan,5,824,+1(14),+3(241),-,-,+1(144),-,-,+5(273),-,-,+1(32),-,-1,54%,Bronze,李岘,高宏智,龚子贤,毕方明,N,N
128,,中国科学技术大学,退休中灯再就业,5,830,+1(19),-,-,-,+4(228),-,-,+1(210),-,-,+2(30),-,+2(243),50%,Bronze,汪晨曦,赵泽昆,陈纳川,孙广中,N,N
128,,浙江师范大学,AAA蜜雪冰城代购,5,830,+3(67),-,-,-,+5(268),-,-,+2(155),-,-,+3(41),-,+2(99),66%,Bronze,叶杨城,周胜烨,周雨星,于娟,N,N
