Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
91,56,浙江工业大学,爱喝牛奶的猫猫酱,5,458,-,+1(32),-,-,+2(53),+2(67),-,-,-,-5,+2(127),+1(119),-,37%,Bronze,李汶芝,狄鑫慧,王瑞,侯向辉,N,N
92,57,香港浸会大学,HKBU,5,460,-,+1(21),-,-,+1(41),+1(102),-,-,-,-13,+3(88),+1(168),-,28%,Bronze,赵云翔,Arsen Avkhadiev,Mohammad Riasad Huq,朴乘志,N,N
93,58,北京邮电大学,三只蒟蒻,5,465,-,+2(16),-,-,+1(37),+3(106),-,-1,-6,-3,+1(30),+6(116),-,61%,Bronze,区庆亮,王佳禾,鲍睿钊,杨亚,N,N
94,,北京航空航天大学,口嗨战神,5,478,-,+1(18),-,-3,+1(41),+1(30),-,-,-,-2,+5(115),+1(194),-,44%,Bronze,董和军,王大禹,蒋槟阳,宋友,N,N
95,,南方科技大学,南方科技大学-伊卡利宁,5,480,-,+1(16),-,-,+1(39),+2(68),-,-,-,-15,+4(141),+1(136),-,44%,Bronze,林政宇,曾子华,赵子悦,唐博,N,N
96,,北京师范大学,内测度,5,486,-,+1(37),-,-27,+1(59),+1(98),-,-,-,-4,+3(82),+1(170),-,28%,Bronze,李鼎懋,林靖轩,孙旭琪,徐鹏飞,N,N
97,59,杭州电子科技大学信息工程学院,清蒸狮子头,5,487,-,+1(22),-,-,+1(93),+1(78),-,-,-,-6,+1(53),+2(221),-,16%,Bronze,杨鑫,尹凯乐,柳徐吉,李钧,N,N
98,,哈尔滨工业大学,月间天路,5,493,-,+1(28),-,-,+1(60),+1(88),-,-,-,-6,+3(106),+1(171),-,28%,Bronze,卢景行,田宇丰,张城玮,孙大烈,N,N
99,,武汉大学,我会自己写代码,5,495,-,+2(40),-,-,+1(33),+1(115),-,-,-,-13,+3(79),+1(168),-,37%,Bronze,谷嘉良,水熙锐,卢凯宾,董文永,N,N
100,60,暨南大学,fallleaves01我将亲手操办你的退役仪式,5,516,-,+1(18),-,-,+1(32),+1(62),-,-,-6,-,+3(157),+3(167),-,44%,Bronze,麦骏,余欣妍,贾子涵,张震,N,N
101,61,中国科学院大学,果壳挂科王,5,517,-,+1(19),-,-,+1(44),+2(125),-,-,-,-1,+1(107),+2(182),-,28%,Bronze,徐亦周,徐致远,蓝天朗,孙晓明,N,N
102,62,东北大学秦皇岛分校,小饼卷大葱,5,534,-,+1(19),-1,-,+1(70),+1(104),-,-,-,-11,+2(124),+2(177),-,28%,Bronze,李不凡,司伟业,董淑睿,王和兴,N,N
103,63,周口师范学院,神里绫华,5,537,-,+1(18),-,-,+1(41),+1(69),-,-,-,-,+4(136),+1(213),-,37%,Bronze,贾文婷,刘博,买琮文,雷晓艳,N,N
104,64,山东大学,应用随机过程,5,541,-,+1(14),-,-,+3(63),+1(109),-,-,-,-19,+4(87),+1(168),-,50%,Bronze,孔轲祎,李玉庭,董家豪,汪云海,N,N
105,65,华南理工大学,EssenceWFern,5,543,-,+1(18),-,-,+3(46),+2(99),-,-,-,-4,+1(88),+3(192),-,50%,Bronze,余梓灏,梁耀威,陈漫璟,冼楚华,N,N
106,,东北大学,NEU_次元魔女,5,548,-,+1(17),-,-,+2(42),+1(118),-,-,-,-6,+2(87),+3(204),-,44%,Bronze,仝家驹,陈彦澍,张帆,刘小锋,N,N
107,66,中国民航大学,无问西东,5,549,-,+1(18),-,-,+2(40),+1(137),-,-,-,-2,+1(105),+1(229),-,16%,Bronze,刘家宁,崔凌宵,颜一鸣,张智,N,N
